timestamp,open,high,low,close,volume
2023-01-0001,2795.0,2800.0,2795.0,2800.0,1500000
2023-01-0002,2819.5,2825.38,2815.66,2821.54,1502446
2023-01-0003,2837.06,2843.79,2829.68,2836.41,1509736
2023-01-0004,2844.74,2852.72,2833.93,2841.91,1521727
2023-01-0005,2845.19,2852.46,2833.6,2840.87,1538186
2023-01-0006,2844.79,2849.58,2835.03,2839.82,1558789
2023-01-0007,2849.75,2850.88,2843.88,2845.01,1583134
2023-01-0008,2862.13,2864.94,2855.69,2858.5,1610744
2023-01-0009,2878.63,2884.68,2870.83,2876.88,1641079
2023-01-0010,2892.53,2901.08,2884.71,2893.26,1673545
2023-01-0011,2897.81,2909.07,2890.14,2901.4,1707508
2023-01-0012,2892.89,2905.11,2887.25,2899.47,1742302
2023-01-0013,2881.67,2893.34,2879.43,2891.1,1777246
2023-01-0014,2871.3,2884.9,2869.58,2883.18,1811658
2023-01-0015,2867.92,2886.9,2862.66,2881.64,1844862
2023-01-0016,2873.08,2895.36,2865.58,2887.86,1876211
2023-01-0017,2882.88,2905.75,2874.97,2897.84,1905090
2023-01-0018,2890.38,2911.03,2883.99,2904.64,1930934
2023-01-0019,2889.87,2905.9,2886.57,2902.6,1953238
2023-01-0020,2880.3,2891.41,2879.7,2890.81,1971564
2023-01-0021,2865.93,2878.07,2861.58,2873.72,1985555
2023-01-0022,2853.64,2865.51,2846.6,2858.47,1994937
2023-01-0023,2848.75,2858.63,2840.75,2850.63,1999525
2023-01-0024,2851.65,2858.65,2843.87,2850.87,1999231
2023-01-0025,2857.58,2861.87,2850.35,2854.64,1994060
2023-01-0026,2859.36,2859.89,2854.45,2854.98,1984114
2023-01-0027,2851.85,2855.21,2843.5,2846.86,1969586
2023-01-0028,2834.96,2841.39,2823.83,2830.26,1950761
2023-01-0029,2813.85,2821.77,2802.38,2810.3,1928008
2023-01-0030,2795.84,2803.32,2786.73,2794.21,1901771
2023-01-0031,2786.13,2792.21,2780.93,2787.01,1872565
2023-01-0032,2784.81,2790.22,2783.16,2788.57,1840960
2023-01-0033,2786.98,2796.02,2784.68,2793.72,1807575
2023-01-0034,2785.93,2801.2,2780.24,2795.51,1773064
2023-01-0035,2777.46,2797.15,2769.77,2789.46,1738101
2023-01-0036,2762.54,2784.15,2754.73,2776.34,1703371
2023-01-0037,2746.94,2767.76,2740.93,2761.75,1669554
2023-01-0038,2737.85,2755.54,2735.11,2752.8,1637311
2023-01-0039,2739.59,2754.98,2738.39,2753.78,1607273
2023-01-0040,2751.01,2768.47,2746.17,2763.63,1580027
2023-01-0041,2766.21,2783.88,2758.91,2776.58,1556108
2023-01-0042,2778.03,2793.63,2770.06,2785.66,1535983
2023-01-0043,2782.26,2793.61,2775.57,2786.92,1520046
2023-01-0044,2780.1,2785.6,2776.33,2781.83,1508608
2023-01-0045,2777.28,2777.35,2776.29,2776.36,1501894
2023-01-0046,2780.34,2784.24,2773.4,2777.3,1500035
2023-01-0047,2792.6,2799.37,2781.39,2788.16,1503067
2023-01-0048,2811.93,2819.91,2798.96,2806.94,1510931
2023-01-0049,2831.96,2839.2,2820.06,2827.3,1523474
2023-01-0050,2845.84,2850.57,2837.65,2842.38,1540448
2023-01-0051,2850.32,2851.38,2847.76,2848.82,1561524
2023-01-0052,2847.78,2851.68,2844.91,2848.81,1586287
2023-01-0053,2844.7,2854.72,2838.6,2848.62,1614255
2023-01-0054,2847.83,2862.57,2840.0,2854.74,1644878
2023-01-0055,2860.15,2877.52,2852.5,2869.87,1677558
2023-01-0056,2879.07,2896.78,2873.48,2891.19,1711656
2023-01-0057,2898.11,2914.16,2895.94,2911.99,1746504
2023-01-0058,2910.82,2927.45,2909.03,2925.66,1781421
2023-01-0059,2914.71,2934.95,2909.4,2929.64,1815722
2023-01-0060,2912.74,2934.4,2905.21,2926.87,1848738
2023-01-0061,2911.46,2931.87,2903.56,2923.97,1879822
2023-01-0062,2916.93,2933.5,2910.58,2927.15,1908365
2023-01-0063,2930.91,2941.61,2927.68,2938.38,1933809
2023-01-0064,2949.68,2954.85,2949.01,2954.18,1955657
2023-01-0065,2966.09,2972.07,2961.68,2967.66,1973480
2023-01-0066,2973.74,2980.81,2965.61,2972.68,1986930
2023-01-0067,2970.72,2978.72,2959.58,2967.58,1995744
2023-01-0068,2960.63,2967.6,2949.17,2956.14,1999749
2023-01-0069,2950.32,2954.55,2941.09,2945.32,1998867
2023-01-0070,2945.63,2946.09,2940.56,2941.02,1993115
2023-01-0071,2947.91,2951.34,2941.11,2944.54,1982606
2023-01-0072,2953.2,2959.67,2945.36,2951.83,1967545
2023-01-0073,2954.76,2963.88,2946.83,2955.95,1948228
2023-01-0074,2947.27,2958.81,2939.82,2951.36,1925031
2023-01-0075,2930.25,2942.47,2925.1,2937.32,1898409
2023-01-0076,2908.53,2919.98,2906.95,2918.4,1868884
2023-01-0077,2889.54,2904.14,2887.17,2901.77,1837032
2023-01-0078,2879.0,2898.69,2873.26,2892.95,1803477
2023-01-0079,2877.63,2900.21,2869.92,2892.5,1768875
2023-01-0080,2880.88,2903.57,2873.09,2895.78,1733904
2023-01-0081,2881.79,2901.81,2875.83,2895.85,1699248
